plant_species,plant_genotype,plant_id,ue,Pm,Pmp,P,Po,Y(I),Y(ND),Y(NA)
rice,Pho1[-M]#22,1,500,1.0,0.5273590672208661,0.2248830581070415,0.0030126131915413,0.3024760091138245,0.2218704449155001,0.4726409327791339
rice,Pho1[-M]#22,1,1000,1.0,0.595153872865725,0.3773665945794065,0.001096683805386,0.2177872782863184,0.3762699107740205,0.404846127134275
rice,Pho1[-M]#22,1,1700,1.0,0.6550868907880598,0.5184619292951648,0.0046574661655454,0.136624961492895,0.5138044631296194,0.3449131092119402
rice,Pho1[-M]#22,2,250,1.0,0.5025912661746756,0.1708426426028472,-0.0018872697093909,0.3317486235718284,0.1727299123122381,0.4974087338253243
rice,Pho1[-M]#22,2,500,1.0,0.5177017267687285,0.2282574698816833,-0.0023852969811134,0.2894442568870451,0.2306427668627968,0.4822982732312715
rice,Pho1[-M]#22,2,1000,1.0,0.6153132981730588,0.4136325898900677,0.0004108806977681,0.2016807082829911,0.4132217091922995,0.3846867018269412
rice,Pho1[-M]#22,2,1700,1.0,0.6648187486732655,0.5482731848160366,-0.0023661555821273,0.1165455638572289,0.550639340398164,0.3351812513267345
rice,Pho1[-M]#34,1,250,1.0,0.6579080843616085,0.3239757003304955,0.001721859581438,0.333932384031113,0.3222538407490575,0.3420919156383915
rice,Pho1[-M]#34,1,500,1.0,0.6770119860278727,0.3988150004928801,0.0031598037027922,0.2781969855349925,0.3956551967900879,0.3229880139721273
rice,Pho1[-M]#34,1,1000,1.0,0.796530709241122,0.5758890632088053,0.0014902432885477,0.2206416460323167,0.5743988199202575,0.2034692907588779
rice,Pho1[-M]#34,1,1700,1.0,0.8558729284315234,0.73937648105414,0.0080719613917194,0.1164964473773834,0.7313045196624206,0.1441270715684766
rice,Pho1[-M]#35,1,250,1.0,0.6443190786889339,0.2947533327441971,0.0008365410361098,0.3495657459447367,0.2939167917080872,0.3556809213110661
rice,Pho1[-M]#35,1,500,1.0,0.6621750835402411,0.3310417624326865,0.0056303496082732,0.3311333211075546,0.3254114128244132,0.3378249164597589
rice,Pho1[-M]#35,1,1000,1.0,0.7480225368374396,0.5397381937828007,0.0027057771679749,0.2082843430546388,0.5370324166148258,0.2519774631625604
rice,Pho1[-M]#35,1,1700,1.0,0.8000111544333247,0.675521373949631,0.0020414126905942,0.1244897804836937,0.6734799612590368,0.1999888455666753
rice,Pho1[-M]#35,2,250,1.0,0.6735020330901698,0.3044043018651433,0.0019088109215379,0.3690977312250264,0.3024954909436054,0.3264979669098302
