plant_species,plant_genotype,plant_id,fvfm,250,500,1000,1700
rice,aPho1DL80,1,0.79,0.53,0.48,0.36,0.25
rice,aPho1DL80,2,0.77,0.58,0.54,0.38,0.27
rice,aPho1,1,0.79,0.6,0.53,0.41,0.27
rice,aPho1,2,0.81,0.53,0.51,0.39,0.29
rice,BMF136,1,0.81,0.58,0.58,0.43,0.29
rice,BMF136,2,0.77,0.61,0.54,0.4,0.29
rice,Pho1DL80[K]#10,1,0.81,0.6,0.53,0.44,0.28
rice,Pho1DL80[K]#10,2,0.81,0.61,0.52,0.43,0.33
rice,Pho1DL80[K]#12,1,0.76,0.55,0.51,0.38,0.27
rice,Pho1DL80[K]#12,2,0.83,0.61,0.52,0.41,0.29
rice,Pho1DL80[K]#4,1,0.83,0.59,0.54,0.43,0.31
rice,Pho1DL80[K]#4,2,0.81,0.61,0.54,0.39,0.29
rice,Pho1[-HT]#1,1,0.79,0.57,0.55,0.43,0.28
rice,Pho1[-HT]#1,2,0.79,0.51,0.46,0.34,0.22
rice,Pho1[-HT]#33,1,0.8,0.61,0.57,0.43,0.3
rice,Pho1[-HT]#33,2,0.8,0.58,0.52,0.44,0.32
rice,Pho1[K]#11,1,0.82,0.56,0.5,0.4,0.26
rice,Pho1[K]#11,2,0.8,0.57,0.52,0.4,0.31
rice,Pho1[K]#15,1,0.78,0.49,0.46,0.32,0.22
rice,Pho1[K]#15,2,0.8,0.51,0.47,0.35,0.24
rice,Pho1[K]#22,1,0.81,0.6,0.52,0.38,0.27
rice,Pho1[K]#22,2,0.82,0.62,0.52,0.41,0.29
rice,TC65,1,0.8,0.54,0.5,0.39,0.26
rice,TC65,2,0.78,0.59,0.52,0.42,0.28
rice,aPho1DL80_1_DA.json,0,0.79,0.53,0.48,0.36,0.25
rice,aPho1DL80_2_DA.json,0,0.77,0.58,0.54,0.38,0.27
rice,aPho1_1_DA.json,0,0.79,0.6,0.53,0.41,0.27
rice,aPho1_2_DA.json,0,0.81,0.53,0.51,0.39,0.29
rice,BMF136_1_DA.json,0,0.81,0.58,0.58,0.43,0.29
rice,BMF136_2_DA.json,0,0.77,0.61,0.54,0.4,0.29
rice,Pho1DL80[K]#10_1_DA.json,0,0.81,0.6,0.53,0.44,0.28
rice,Pho1DL80[K]#10_2_DA.json,0,0.81,0.61,0.52,0.43,0.33
rice,Pho1DL80[K]#12_1_DA.json,0,0.76,0.55,0.51,0.38,0.27
rice,Pho1DL80[K]#12_2_DA.json,0,0.83,0.61,0.52,0.41,0.29
rice,Pho1DL80[K]#4_1_DA.json,0,0.83,0.59,0.54,0.43,0.31
rice,Pho1DL80[K]#4_2_DA.json,0,0.81,0.61,0.54,0.39,0.29
rice,Pho1[,HT]#1_1_DA,0.79,0.57,0.55,0.43,0.28
rice,Pho1[,HT]#1_2_DA,0.79,0.51,0.46,0.34,0.22
rice,Pho1[,HT]#33_1_DA,0.8,0.61,0.57,0.43,0.3
rice,Pho1[,HT]#33_2_DA,0.8,0.58,0.52,0.44,0.32
rice,Pho1[K]#11_1_DA.json,0,0.82,0.56,0.5,0.4,0.26
rice,Pho1[K]#11_2_DA.json,0,0.8,0.57,0.52,0.4,0.31
rice,Pho1[K]#15_1_DA.json,0,0.78,0.49,0.46,0.32,0.22
rice,Pho1[K]#15_2_DA.json,0,0.8,0.51,0.47,0.35,0.24
rice,Pho1[K]#22_1_DA.json,0,0.81,0.6,0.52,0.38,0.27
rice,Pho1[K]#22_2_DA.json,0,0.82,0.62,0.52,0.41,0.29
rice,TC65_1_DA.json,0,0.8,0.54,0.5,0.39,0.26
rice,TC65_2_DA.json,0,0.78,0.59,0.52,0.42,0.28
