,ue,Pm,Pmp,P,Po,Y(I),Y(ND),Y(NA),plant_species,plant_genotype,plant_id
0,250,1.0,0.6194424332301941,0.1675741230350714,0.006314737261849335,0.4518683101951227,0.16125938577322207,0.3805575667698059,rice,HC69_3_DA.json,0
1,500,1.0,0.7919060074768212,0.31911281654791374,0.005923239341194461,0.4727931909289074,0.31318957720671925,0.20809399252317884,rice,HC69_3_DA.json,0
2,1000,1.0,0.9170741075232332,0.5683932607698678,0.00048496678780464013,0.3486808467533653,0.5679082939820632,0.08292589247676685,rice,HC69_3_DA.json,0
3,1700,1.0,0.9323286903327244,0.7431168357124989,0.00174507818046139,0.1892118546202255,0.7413717575320374,0.06767130966727564,rice,HC69_3_DA.json,0
