,labels,time_ms,time_ms_trace,wavelength,value,experiment_name,trace_num,time_s,plant_species,plant_genotype,plant_id
49,p700_reference,271.0,245.0,820nm,52975,20240623_062324_maize_HC69_3_DA,0,0.271,rice,HC69_3_DA.json,0
50,p700_reference,276.0,250.0,820nm,52979,20240623_062324_maize_HC69_3_DA,0,0.276,rice,HC69_3_DA.json,0
51,p700_reference,281.0,255.0,820nm,52979,20240623_062324_maize_HC69_3_DA,0,0.281,rice,HC69_3_DA.json,0
52,p700_reference,286.0,260.0,820nm,52962,20240623_062324_maize_HC69_3_DA,0,0.286,rice,HC69_3_DA.json,0
53,p700_reference,291.0,265.0,820nm,52977,20240623_062324_maize_HC69_3_DA,0,0.291,rice,HC69_3_DA.json,0
54,p700_reference,296.0,270.0,820nm,52978,20240623_062324_maize_HC69_3_DA,0,0.296,rice,HC69_3_DA.json,0
55,p700_reference,301.0,275.0,820nm,52971,20240623_062324_maize_HC69_3_DA,0,0.301,rice,HC69_3_DA.json,0
56,p700_reference,306.0,280.0,820nm,52983,20240623_062324_maize_HC69_3_DA,0,0.306,rice,HC69_3_DA.json,0
57,p700_reference,311.0,285.0,820nm,52971,20240623_062324_maize_HC69_3_DA,0,0.311,rice,HC69_3_DA.json,0
58,p700_reference,316.0,290.0,820nm,52971,20240623_062324_maize_HC69_3_DA,0,0.316,rice,HC69_3_DA.json,0
59,p700_reference,321.0,295.0,820nm,52967,20240623_062324_maize_HC69_3_DA,0,0.321,rice,HC69_3_DA.json,0
60,p700_reference,326.0,300.0,820nm,52985,20240623_062324_maize_HC69_3_DA,0,0.326,rice,HC69_3_DA.json,0
61,p700_reference,331.0,305.0,820nm,52977,20240623_062324_maize_HC69_3_DA,0,0.331,rice,HC69_3_DA.json,0
62,p700_reference,336.0,310.0,820nm,52971,20240623_062324_maize_HC69_3_DA,0,0.336,rice,HC69_3_DA.json,0
63,p700_reference,341.0,315.0,820nm,52985,20240623_062324_maize_HC69_3_DA,0,0.341,rice,HC69_3_DA.json,0
64,p700_reference,346.0,320.0,820nm,52987,20240623_062324_maize_HC69_3_DA,0,0.346,rice,HC69_3_DA.json,0
65,p700_reference,351.0,325.0,820nm,52979,20240623_062324_maize_HC69_3_DA,0,0.351,rice,HC69_3_DA.json,0
66,p700_reference,356.0,330.0,820nm,52970,20240623_062324_maize_HC69_3_DA,0,0.356,rice,HC69_3_DA.json,0
67,p700_reference,361.0,335.0,820nm,52957,20240623_062324_maize_HC69_3_DA,0,0.361,rice,HC69_3_DA.json,0
68,p700_reference,366.0,340.0,820nm,52975,20240623_062324_maize_HC69_3_DA,0,0.366,rice,HC69_3_DA.json,0
69,p700_reference,371.0,345.0,820nm,52970,20240623_062324_maize_HC69_3_DA,0,0.371,rice,HC69_3_DA.json,0
70,p700_reference,376.0,350.0,820nm,52974,20240623_062324_maize_HC69_3_DA,0,0.376,rice,HC69_3_DA.json,0
71,p700_reference,381.0,355.0,820nm,52987,20240623_062324_maize_HC69_3_DA,0,0.381,rice,HC69_3_DA.json,0
