,ue,Pm,Pmp,P,Po,Y(I),Y(ND),Y(NA),plant_species,plant_genotype,plant_id
0,250,1.0,0.6184909453725864,0.169694076457645,-0.0013449423090688961,0.4487968689149414,0.1710390187667139,0.3815090546274136,rice,4193_5_DA.json,0
1,500,1.0,0.7926512290187303,0.3454553811333288,0.0004235808808000457,0.4471958478854015,0.3450318002525288,0.2073487709812697,rice,4193_5_DA.json,0
2,1000,1.0,0.9317926174089832,0.5908227081201763,-0.0020178439955312252,0.3409699092888069,0.5928405521157075,0.06820738259101677,rice,4193_5_DA.json,0
3,1700,1.0,0.9226581493016162,0.7511853175082537,-0.0018772021544783157,0.17147283179336248,0.753062519662732,0.07734185069838384,rice,4193_5_DA.json,0
