,ue,Pm,Pmp,P,Po,Y(I),Y(ND),Y(NA),plant_species,plant_genotype,plant_id
0,250,1.0,0.6695160648328906,0.33477822813453095,-0.000885245760770245,0.33473783669835966,0.3356634738953012,0.3304839351671094,rice,Pho1C35,2
1,500,1.0,0.7256936011522703,0.4677747344445734,-0.0033156706531999856,0.2579188667076969,0.4710904050977734,0.27430639884772967,rice,Pho1C35,2
2,1000,1.0,0.7681596647934398,0.5833894506031904,0.0017734568549646547,0.18477021419024942,0.5816159937482257,0.23184033520656022,rice,Pho1C35,2
3,1700,1.0,0.5681822796281938,0.48018455947238237,0.002175858204329815,0.08799772015581142,0.47800870126805256,0.4318177203718062,rice,Pho1C35,2
