,ue,Pm,Pmp,P,Po,Y(I),Y(ND),Y(NA),plant_species,plant_genotype,plant_id
0,250,1.0,0.5638101142202753,0.2756292154588881,-0.005228192737808629,0.2881808987613872,0.2808574081966967,0.43618988577972473,rice,aPho1,3
1,500,1.0,0.6322241257636547,0.3762954941062759,-0.0021123855073973646,0.25592863165737884,0.3784078796136732,0.3677758742363453,rice,aPho1,3
2,1000,1.0,0.6715640150794291,0.5397304251917586,-0.0025252824989447503,0.13183358988767047,0.5422557076907034,0.3284359849205709,rice,aPho1,3
3,1700,1.0,0.5471391594172169,0.47107088990858204,-0.0005399971183322798,0.07606826950863488,0.47161088702691434,0.4528608405827831,rice,aPho1,3
