,ue,Pm,Pmp,P,Po,Y(I),Y(ND),Y(NA),plant_species,plant_genotype,plant_id
0,250,1.0,0.8260617444245577,0.043476933916879304,-5.501081631809942e-13,0.7825848105076784,0.04347693391742941,0.1739382555754423,rice,aPho1,2
1,500,1.0,0.8260617444245577,0.08695386783375861,-5.501081631809942e-13,0.7391078765907991,0.08695386783430871,0.1739382555754423,rice,aPho1,2
2,1000,1.0,0.8260617444245577,0.17390773566806728,-5.501081631809942e-13,0.6521540087564904,0.1739077356686174,0.1739382555754423,rice,aPho1,2
3,1700,1.0,0.8260617444245577,0.34781547133613466,-5.501081631809942e-13,0.47824627308842305,0.3478154713366848,0.1739382555754423,rice,aPho1,2
