plant_species,plant_genotype,plant_id,ue,Pm,Pmp,P,Po,Y(I),Y(ND),Y(NA)
rice,aPho1DL80,1,250,1.0,0.6257776766280068,0.2817019106590808,-0.0014715126395542,0.344075765968926,0.2831734232986351,0.3742223233719932
rice,aPho1DL80,1,500,1.0,0.6364547115825661,0.3309028442501131,0.0018316116389122,0.3055518673324529,0.3290712326112008,0.3635452884174339
rice,aPho1DL80,1,1000,1.0,0.6974996128415005,0.4965649881204551,-0.0023887797845357,0.2009346247210454,0.4989537679049908,0.3025003871584995
rice,aPho1DL80,1,1700,1.0,0.8054347946182586,0.6950103726207761,0.0044994307186057,0.1104244219974824,0.6905109419021704,0.1945652053817413
rice,aPho1DL80,2,250,1.0,0.6424696479988943,0.2818376670770813,0.0011000645455689,0.3606319809218129,0.2807376025315123,0.3575303520011057
rice,aPho1DL80,2,500,1.0,0.6753314437320648,0.3308218267472669,-0.0050026738429514,0.3445096169847979,0.3358245005902183,0.3246685562679352
rice,aPho1DL80,2,1000,1.0,0.7842381489708788,0.5253937686511712,-0.0023079021734235,0.2588443803197077,0.5277016708245947,0.2157618510291211
rice,aPho1DL80,2,1700,1.0,0.7794866405145149,0.6600187997238453,-0.0043743441660265,0.1194678407906696,0.6643931438898718,0.2205133594854851
rice,aPho1,1,250,1.0,0.7618207243313658,0.4495534140397019,0.0028690469033268,0.3122673102916639,0.446684367136375,0.2381792756686341
rice,aPho1,1,500,1.0,0.7585566329823871,0.5102863475798906,0.0014209180471412,0.2482702854024965,0.5088654295327494,0.2414433670176129
rice,aPho1,1,1000,1.0,0.8624717772775383,0.6849229231834559,0.0010729048436026,0.1775488540940824,0.6838500183398533,0.1375282227224616
rice,aPho1,1,1700,1.0,0.9385483467410493,0.8352911227484221,0.0048134900768597,0.1032572239926271,0.8304776326715623,0.0614516532589507
rice,aPho1,2,250,1.0,0.8260617444245577,0.0434769339168793,-5.501081631809942e-13,0.7825848105076784,0.0434769339174294,0.1739382555754423
rice,aPho1,2,500,1.0,0.8260617444245577,0.0869538678337586,-5.501081631809942e-13,0.7391078765907991,0.0869538678343087,0.1739382555754423
rice,aPho1,2,1000,1.0,0.8260617444245577,0.1739077356680672,-5.501081631809942e-13,0.6521540087564904,0.1739077356686174,0.1739382555754423
rice,aPho1,2,1700,1.0,0.8260617444245577,0.3478154713361346,-5.501081631809942e-13,0.478246273088423,0.3478154713366848,0.1739382555754423
rice,aPho1,3,250,1.0,0.5638101142202753,0.2756292154588881,-0.0052281927378086,0.2881808987613872,0.2808574081966967,0.4361898857797247
rice,aPho1,3,500,1.0,0.6322241257636547,0.3762954941062759,-0.0021123855073973,0.2559286316573788,0.3784078796136732,0.3677758742363453
rice,aPho1,3,1000,1.0,0.6715640150794291,0.5397304251917586,-0.0025252824989447,0.1318335898876704,0.5422557076907034,0.3284359849205709
rice,aPho1,3,1700,1.0,0.5471391594172169,0.471070889908582,-0.0005399971183322,0.0760682695086348,0.4716108870269143,0.4528608405827831
rice,BMF136,1,250,1.0,0.6720333574456948,0.3448887760444145,-0.0001113552659763,0.3271445814012803,0.3450001313103909,0.3279666425543052
rice,BMF136,1,500,1.0,0.6268516814210472,0.3909357243881224,-0.0003358318793162,0.2359159570329247,0.3912715562674386,0.3731483185789528
rice,BMF136,1,1000,1.0,0.7903658390460817,0.5772705648555934,0.0010088968234182,0.2130952741904883,0.5762616680321752,0.2096341609539183
rice,BMF136,1,1700,1.0,0.8668000856408435,0.7590255796155456,-0.0010656485637576,0.1077745060252979,0.7600912281793033,0.1331999143591564
rice,BMF136,2,250,1.0,0.6237813161872233,0.2813684841098477,0.0054298040041436,0.3424128320773755,0.2759386801057041,0.3762186838127767
rice,BMF136,2,500,1.0,0.6735382807749949,0.3593447911055473,0.004398932191189,0.3141934896694475,0.3549458589143583,0.3264617192250051
rice,BMF136,2,1000,1.0,0.8066282026791733,0.5755003169260893,0.0021232686946255,0.231127885753084,0.5733770482314637,0.1933717973208266
rice,BMF136,2,1700,1.0,0.7122076390209734,0.59376559481442,0.0019382683211277,0.1184420442065533,0.5918273264932923,0.2877923609790266
rice,Pho1C33,1,250,1.0,0.6557829586209265,0.3752373788733967,-0.0019316355035159,0.2805455797475298,0.3771690143769126,0.3442170413790735
rice,Pho1C33,1,500,1.0,0.6790693002035492,0.4422335658185187,-0.0051746438009947,0.2368357343850304,0.4474082096195135,0.3209306997964508
rice,Pho1C33,1,1000,1.0,0.7839199867277763,0.6252692598015477,-0.0025743351311262,0.1586507269262286,0.6278435949326739,0.2160800132722237
rice,Pho1C33,1,1700,1.0,0.8550270588338221,0.7563618621941107,-0.0050711649759434,0.0986651966397114,0.7614330271700542,0.1449729411661778
rice,Pho1C33,2,250,1.0,0.6573755970407785,0.3025589071728486,0.0015470073392363,0.3548166898679298,0.3010118998336123,0.3426244029592215
rice,Pho1C33,2,500,1.0,0.6917940028246817,0.3923315530986259,0.007157102478399,0.2994624497260558,0.3851744506202268,0.3082059971753182
rice,Pho1C33,2,1000,1.0,0.8035738669702658,0.6101860853029671,0.0042263470330599,0.1933877816672986,0.6059597382699071,0.1964261330297342
rice,Pho1C33,2,1700,1.0,0.7464479127440592,0.6477589129302866,0.0026800090014063,0.0986889998137725,0.6450789039288803,0.2535520872559408
rice,Pho1C35,1,250,1.0,0.6468820210890255,0.3452866595598436,-0.0012324118475291,0.3015953615291818,0.3465190714073728,0.3531179789109745
rice,Pho1C35,1,500,1.0,0.6683837903723837,0.408107900339562,0.0029697856035043,0.2602758900328217,0.4051381147360576,0.3316162096276163
