,ue,Pm,Pmp,P,Po,Y(I),Y(ND),Y(NA),plant_species,plant_genotype,plant_id
0,250,1.0,0.7043003582224404,0.3533264050302096,-0.0002808656253686249,0.3509739531922308,0.35360727065557823,0.2956996417775596,rice,Pho1DL80K4,2
1,500,1.0,0.7203777941079672,0.4814491189148064,0.0006195147234286755,0.2389286751931608,0.4808296041913777,0.2796222058920328,rice,Pho1DL80K4,2
2,1000,1.0,0.8223505119040001,0.6456327526482061,-0.005633710163847071,0.17671775925579403,0.6512664628120531,0.1776494880959999,rice,Pho1DL80K4,2
3,1700,1.0,0.7742541991061804,0.651426639702383,0.00273407762389842,0.12282755940379741,0.6486925620784846,0.22574580089381957,rice,Pho1DL80K4,2
