,ue,Pm,Pmp,P,Po,Y(I),Y(ND),Y(NA),plant_species,plant_genotype,plant_id
0,250,1.0,0.6237813161872233,0.28136848410984777,0.00542980400414362,0.34241283207737555,0.27593868010570416,0.3762186838127767,rice,BMF136,2
1,500,1.0,0.6735382807749949,0.35934479110554735,0.004398932191189011,0.31419348966944755,0.3549458589143583,0.3264617192250051,rice,BMF136,2
2,1000,1.0,0.8066282026791733,0.5755003169260893,0.002123268694625503,0.23112788575308407,0.5733770482314637,0.19337179732082665,rice,BMF136,2
3,1700,1.0,0.7122076390209734,0.59376559481442,0.0019382683211277545,0.11844204420655335,0.5918273264932923,0.2877923609790266,rice,BMF136,2
