,ue,Pm,Pmp,P,Po,Y(I),Y(ND),Y(NA),plant_species,plant_genotype,plant_id
0,250,1.0,0.6281026917693913,0.24041783812574408,0.00163811418443757,0.3876848536436472,0.2387797239413065,0.37189730823060874,rice,Pho1[-N]#6,1
1,500,1.0,0.6454349670408323,0.3147949437339815,-0.00018538610142161777,0.33064002330685077,0.3149803298354031,0.35456503295916775,rice,Pho1[-N]#6,1
2,1000,1.0,0.7488830780447331,0.5108683754889245,0.0013429905859554667,0.2380147025558086,0.5095253849029691,0.2511169219552669,rice,Pho1[-N]#6,1
3,1700,1.0,0.8286756591756069,0.6926719804127375,0.004459816578111299,0.13600367876286945,0.6882121638346261,0.17132434082439307,rice,Pho1[-N]#6,1
