,ue,Pm,Pmp,P,Po,Y(I),Y(ND),Y(NA),plant_species,plant_genotype,plant_id
0,250,1.0,0.4982163666517955,0.1753674195582804,0.004436072159780796,0.3228489470935151,0.1709313473984996,0.5017836333482045,rice,Pho1[-C]#4,2
1,500,1.0,0.5159696812614454,0.23201912953031595,0.0014434643143583,0.28395055173112943,0.23057566521595765,0.4840303187385546,rice,Pho1[-C]#4,2
2,1000,1.0,0.6539945851383029,0.42402000981876353,0.0009892647952893447,0.22997457531953935,0.4230307450234742,0.3460054148616971,rice,Pho1[-C]#4,2
3,1700,1.0,0.7609092242105163,0.5885923841427441,0.006982908017629495,0.17231684006777226,0.5816094761251146,0.23909077578948368,rice,Pho1[-C]#4,2
