,ue,Pm,Pmp,P,Po,Y(I),Y(ND),Y(NA),plant_species,plant_genotype,plant_id
0,250,1.0,0.6825694227354491,0.3574540374002645,-0.0007267743216229154,0.3251153853351846,0.3581808117218874,0.31743057726455093,rice,Pho1[-C]#35,2
1,500,1.0,0.7641397911386963,0.5086058448851563,0.0007279293681178098,0.2555339462535401,0.5078779155170384,0.23586020886130366,rice,Pho1[-C]#35,2
2,1000,1.0,0.7726489787207048,0.627873902355906,0.0033318956241894155,0.1447750763647988,0.6245420067317166,0.22735102127929518,rice,Pho1[-C]#35,2
3,1700,1.0,0.4906733280157961,0.4259716442046107,-0.0016550070685243101,0.0647016838111854,0.427626651273135,0.5093266719842039,rice,Pho1[-C]#35,2
