,ue,Pm,Pmp,P,Po,Y(I),Y(ND),Y(NA),plant_species,plant_genotype,plant_id
0,250,1.0,0.6735020330901698,0.30440430186514333,0.0019088109215379102,0.3690977312250264,0.30249549094360545,0.32649796690983024,rice,Pho1[-M]#35,2
1,500,1.0,0.7494357692110625,0.4121201155615383,-0.00322454919513041,0.33731565364952415,0.41534466475666876,0.2505642307889375,rice,Pho1[-M]#35,2
2,1000,1.0,0.7404074702838601,0.551008134196644,-0.0024777424801364053,0.18939933608721615,0.5534858766767804,0.2595925297161399,rice,Pho1[-M]#35,2
3,1700,1.0,0.6740631093606675,0.575457512543913,2.563740964319967e-05,0.09860559681675451,0.5754318751342697,0.3259368906393325,rice,Pho1[-M]#35,2
