,ue,Pm,Pmp,P,Po,Y(I),Y(ND),Y(NA),plant_species,plant_genotype,plant_id
0,250,1.0,0.4805053599283828,0.2190375806336437,0.00125600397366681,0.2614677792947391,0.21778157665997688,0.5194946400716172,rice,Pho1[-N]#22,2
1,500,1.0,0.5450591277804153,0.32630850166754954,-0.0030352962367358968,0.21875062611286578,0.3293437979042854,0.4549408722195847,rice,Pho1[-N]#22,2
2,1000,1.0,0.5706536403384224,0.41879659041956385,-0.0013350567072623648,0.1518570499188585,0.4201316471268262,0.42934635966157764,rice,Pho1[-N]#22,2
3,1700,1.0,0.5243527973582328,0.43659908846453876,-0.0018207657698922197,0.08775370889369405,0.438419854234431,0.4756472026417672,rice,Pho1[-N]#22,2
