,ue,Pm,Pmp,P,Po,Y(I),Y(ND),Y(NA),plant_species,plant_genotype,plant_id
0,250,1.0,0.5755151397309902,0.2140884745695003,0.00211597078706124,0.3614266651614899,0.21197250378243906,0.4244848602690098,rice,Pho1[-N]#1,1
1,500,1.0,0.5885078109912494,0.29001019395202393,0.00191611696462415,0.29849761703922545,0.2880940769873998,0.4114921890087506,rice,Pho1[-N]#1,1
2,1000,1.0,0.7108731873542656,0.5034939467800449,0.00291626948265507,0.20737924057422075,0.5005776772973898,0.28912681264573437,rice,Pho1[-N]#1,1
3,1700,1.0,0.7585490667953316,0.6429548688334158,0.00019824193081967502,0.11559419796191583,0.6427566269025962,0.24145093320466837,rice,Pho1[-N]#1,1
