plant_species,plant_genotype,plant_id,ue,Pm,Pmp,P,Po,Y(I),Y(ND),Y(NA)
rice,4191_1_DA.json,0,250,1.0,0.3901706863243257,0.093113151741198,-0.0024127102681521,0.2970575345831277,0.0955258620093501,0.6098293136756743
rice,4191_1_DA.json,0,500,1.0,0.4978014671906309,0.1941628768643573,-0.0020104924240454,0.3036385903262736,0.1961733692884027,0.5021985328093691
rice,4191_1_DA.json,0,1000,1.0,0.6616070672463584,0.3798340739540898,-0.0015833557973108,0.2817729932922686,0.3814174297514006,0.3383929327536416
rice,4191_1_DA.json,0,1700,1.0,0.7678417281923499,0.5861342742020934,-0.0008276262185927,0.1817074539902564,0.5869619004206862,0.2321582718076501
rice,4191_2_DA.json,0,250,1.0,0.3756322303499374,0.1094278932481566,-0.000986405663386,0.2662043371017807,0.1104142989115427,0.6243677696500626
rice,4191_2_DA.json,0,500,1.0,0.4823316357065029,0.1899626523441676,-0.0015387434826897,0.2923689833623352,0.1915013958268574,0.5176683642934972
rice,4191_2_DA.json,0,1000,1.0,0.6595626143304618,0.4061379919992149,-0.0012504512954579,0.2534246223312468,0.4073884432946729,0.3404373856695382
rice,4191_2_DA.json,0,1700,1.0,0.772720325669406,0.5905224275762098,-0.0004809222569443,0.1821978980931962,0.5910033498331541,0.227279674330594
rice,4191_3_DA.json,0,250,1.0,0.4580281520750731,0.118909338796932,-0.003012817968299,0.339118813278141,0.1219221567652311,0.5419718479249269
rice,4191_3_DA.json,0,500,1.0,0.5119808345792425,0.1790052260552495,-0.0030126803033006,0.3329756085239929,0.1820179063585501,0.4880191654207575
rice,4191_3_DA.json,0,1000,1.0,0.7301964312806967,0.4078642036916954,-0.0019785403239404,0.3223322275890012,0.4098427440156359,0.2698035687193033
rice,4191_3_DA.json,0,1700,1.0,0.8374318219495465,0.613288252450172,0.0004608535691985,0.2241435694993744,0.6128273988809735,0.1625681780504535
rice,4192_1_DA.json,0,250,1.0,0.4229962408812226,0.113332860816429,-0.0015007617512257,0.3096633800647936,0.1148336225676547,0.5770037591187773
rice,4192_1_DA.json,0,500,1.0,0.5244832278111435,0.2345793816572985,0.0006654262944742,0.2899038461538449,0.2339139553628243,0.4755167721888564
rice,4192_1_DA.json,0,1000,1.0,0.7151215092097865,0.4508898967308862,0.0011904900890537,0.2642316124789002,0.4496994066418325,0.2848784907902135
rice,4192_1_DA.json,0,1700,1.0,0.804749020671699,0.6135800726269145,-0.0039380224320215,0.1911689480447844,0.6175180950589361,0.195250979328301
rice,4192_2_DA.json,0,250,1.0,0.4243182201179313,0.1065925003107903,0.0020923671603831,0.3177257198071409,0.1045001331504072,0.5756817798820687
rice,4192_2_DA.json,0,500,1.0,0.4599257872112242,0.1663080565936182,-0.000765084952545,0.2936177306176059,0.1670731415461633,0.5400742127887759
rice,4192_2_DA.json,0,1000,1.0,0.6586316775564175,0.3956996828013069,0.0016845270034668,0.2629319947551105,0.3940151557978401,0.3413683224435825
rice,4192_2_DA.json,0,1700,1.0,0.7714321886206429,0.572906031679824,0.0003831020319587,0.1985261569408188,0.5725229296478652,0.2285678113793571
