,ue,Pm,Pmp,P,Po,Y(I),Y(ND),Y(NA),plant_species,plant_genotype,plant_id
0,250,1.0,0.4243182201179313,0.10659250031079039,0.0020923671603831602,0.3177257198071409,0.10450013315040722,0.5756817798820687,rice,4192_2_DA.json,0
1,500,1.0,0.4599257872112242,0.16630805659361825,-0.0007650849525450651,0.29361773061760593,0.16707314154616332,0.5400742127887759,rice,4192_2_DA.json,0
2,1000,1.0,0.6586316775564175,0.39569968280130696,0.00168452700346686,0.26293199475511053,0.3940151557978401,0.3413683224435825,rice,4192_2_DA.json,0
3,1700,1.0,0.7714321886206429,0.572906031679824,0.00038310203195874497,0.19852615694081888,0.5725229296478652,0.2285678113793571,rice,4192_2_DA.json,0
