,ue,Pm,Pmp,P,Po,Y(I),Y(ND),Y(NA),plant_species,plant_genotype,plant_id
0,250,1.0,0.4229962408812226,0.11333286081642903,-0.0015007617512257146,0.3096633800647936,0.11483362256765474,0.5770037591187773,rice,4192_1_DA.json,0
1,500,1.0,0.5244832278111435,0.23457938165729858,0.0006654262944742804,0.28990384615384496,0.2339139553628243,0.47551677218885646,rice,4192_1_DA.json,0
2,1000,1.0,0.7151215092097865,0.45088989673088625,0.00119049008905377,0.2642316124789002,0.4496994066418325,0.28487849079021355,rice,4192_1_DA.json,0
3,1700,1.0,0.804749020671699,0.6135800726269145,-0.003938022432021545,0.19116894804478446,0.6175180950589361,0.19525097932830104,rice,4192_1_DA.json,0
